name,description
Depósito de arcilla,Presencia de minerales de arcilla filosilicatada indicando antigua presencia de agua al sureste.
Cueva subsuperficial,Entrada a una cueva subsuperficial con potencial refugio térmico al noroeste.
Tubo de lava subterráneo,Estructura geotérmica compatible con un tubo de lava subterráneo al suroeste.
Caída de meteorito reciente,Fragmentos de un meteorito metálico con un impacto reciente al este.
Terreno caótico,Área de terreno caótico con bloques de roca fracturada y colapsada al norte.
Gélida capa de dióxido de carbono,Detección de una capa gélida de dióxido de carbono sobre el terreno al sur.
Viento solar intenso,Sensor atmosférico registra ráfagas de viento solar a 280 km/s.
Desprendimiento de rocas,Alerta por desprendimiento de rocas en la ladera del cerro situado al oeste.
Cañón,El rover se encontró un cañón de 310 km de longitud al este.
Cráter de impacto,Detección de un cráter de impacto con un diámetro aproximado de 75 m al norte.
Afloramiento rocoso,Se identificó un afloramiento rocoso rico en minerales de carbonatos al sur.
Tormenta de polvo,Alerta de tormenta de polvo con visibilidad reducida al 62% dirigiéndose hacia el oeste.
Duna de arena fina,El rover navega por una duna de arena fina con alto riesgo de atascamiento al sureste.
Depósito de hielo de agua,Detección espectrométrica de depósito de hielo de agua a 180 cm bajo la superficie al noroeste.
Anomalía magnética,Los sensores detectan una anomalía magnética de 30 uT en la zona noreste.
Lecho de río seco,Descubrimiento de un antiguo lecho de río seco con sedimentos fluviales al suroeste.
Fisura tectónica,Grieta tectónica profunda de 410 m de profundidad detectada al norte.
Géisers de gas,Emisión activa de géisers de gas comprimido a 250 metros al sur.
Radiación elevada,Pico de radiación cósmica detectado alcanzando 135 mSv/h al este.
Tubo de lava subterráneo,Estructura geotérmica compatible con un tubo de lava subterráneo al oeste.
Cueva subsuperficial,Entrada a una cueva subsuperficial con potencial refugio térmico al noreste.
Rocas basálticas,Campo denso de rocas basálticas acumuladas al sureste.
Depósito de arcilla,Presencia de minerales de arcilla filosilicatada indicando antigua presencia de agua al noroeste.
Caída de meteorito reciente,Fragmentos de un meteorito metálico con un impacto reciente al suroeste.
Gélida capa de dióxido de carbono,Detección de una capa gélida de dióxido de carbono sobre el terreno al este.
Terreno caótico,Área de terreno caótico con bloques de roca fracturada y colapsada al norte.
Desprendimiento de rocas,Alerta por desprendimiento de rocas en la ladera del cerro situado al sur.
Viento solar intenso,Sensor atmosférico registra ráfagas de viento solar a 350 km/s.
Cañón,El rover se encontró un cañón de 95 km de longitud al noreste.
Cráter de impacto,Detección de un cráter de impacto con un diámetro aproximado de 230 m al sureste.
Afloramiento rocoso,Se identificó un afloramiento rocoso rico en minerales de óxido de silicio al noroeste.
Tormenta de polvo,Alerta de tormenta de polvo con visibilidad reducida al 75% dirigiéndose hacia el suroeste.
Duna de arena fina,El rover navega por una duna de arena fina con alto riesgo de atascamiento al este.
Anomalía magnética,Los sensores detectan una anomalía magnética de 95 uT en la zona norte.
Depósito de hielo de agua,Detección espectrométrica de depósito de hielo de agua a 90 cm bajo la superficie al sur.
Lecho de río seco,Descubrimiento de un antiguo lecho de río seco con sedimentos fluviales al oeste.
Géisers de gas,Emisión activa de géisers de gas comprimido a 450 metros al noreste.
Fisura tectónica,Grieta tectónica profunda de 150 m de profundidad detectada al sureste.
Radiación elevada,Pico de radiación cósmica detectado alcanzando 80 mSv/h al noroeste.
Tubo de lava subterráneo,Estructura geotérmica compatible con un tubo de lava subterráneo al suroeste.
Cueva subsuperficial,Entrada a una cueva subsuperficial con potencial refugio térmico al este.
Rocas basálticas,Campo denso de rocas basálticas acumuladas al norte.
Depósito de arcilla,Presencia de minerales de arcilla filosilicatada indicando antigua presencia de agua al sur.
Gélida capa de dióxido de carbono,Detección de una capa gélida de dióxido de carbono sobre el terreno al oeste.
Caída de meteorito reciente,Fragmentos de un meteorito metálico con un impacto reciente al noreste.
Terreno caótico,Área de terreno caótico con bloques de roca fracturada y colapsada al sureste.
Viento solar intenso,Sensor atmosférico registra ráfagas de viento solar a 480 km/s.
Desprendimiento de rocas,Alerta por desprendimiento de rocas en la ladera del cerro situado al noroeste.
Cañón,El rover se encontró un cañón de 210 km de longitud al suroeste.
Cráter de impacto,Detección de un cráter de impacto con un diámetro aproximado de 310 m al este.
Afloramiento rocoso,Se identificó un afloramiento rocoso rico en minerales de arcillas hidratadas al norte.
Tormenta de polvo,Alerta de tormenta de polvo con visibilidad reducida al 90% dirigiéndose hacia el sur.
Duna de arena fina,El rover navega por una duna de arena fina con alto riesgo de atascamiento al oeste.
Anomalía magnética,Los sensores detectan una anomalía magnética de 110 uT en la zona noreste.
Depósito de hielo de agua,Detección espectrométrica de depósito de hielo de agua a 210 cm bajo la superficie al sureste.
Lecho de río seco,Descubrimiento de un antiguo lecho de río seco con sedimentos fluviales al noroeste.
Fisura tectónica,Grieta tectónica profunda de 320 m de profundidad detectada al suroeste.
Géisers de gas,Emisión activa de géisers de gas comprimido a 180 metros al este.
Radiación elevada,Pico de radiación cósmica detectado alcanzando 95 mSv/h al norte.
Tubo de lava subterráneo,Estructura geotérmica compatible con un tubo de lava subterráneo al sur.
Cueva subsuperficial,Entrada a una cueva subsuperficial con potencial refugio térmico al oeste.
Rocas basálticas,Campo denso de rocas basálticas acumuladas al noreste.
Depósito de arcilla,Presencia de minerales de arcilla filosilicatada indicando antigua presencia de agua al sureste.
Caída de meteorito reciente,Fragmentos de un meteorito metálico con un impacto reciente al noroeste.
Gélida capa de dióxido de carbono,Detección de una capa gélida de dióxido de carbono sobre el terreno al suroeste.
Terreno caótico,Área de terreno caótico con bloques de roca fracturada y colapsada al este.
Desprendimiento de rocas,Alerta por desprendimiento de rocas en la ladera del cerro situado al norte.
Viento solar intenso,Sensor atmosférico registra ráfagas de viento solar a 390 km/s.
